"","Index","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"529",529,"25-34","Female","Professional certificate/diploma","UK","White",0.73545,1.11406,-0.01928,-0.01729,-0.00665,-0.21712,1.2247,"Used in Last Week","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Week","Never Used","Used in Last Decade","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Week","Never Used","Used over a Decade Ago"
"530",530,"55-64","Male","University degree","UK","White",0.91093,0.00332,0.58331,-1.92595,0.58489,-0.21712,-1.18084,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"531",531,"45-54","Male","University degree","UK","White",1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,"Used in Last Week","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Year","Used in Last Year","Used in Last Decade","Used over a Decade Ago","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
"532",532,"18-24","Female","University degree","UK","White",-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,"Used in Last Month","Never Used","Never Used","Used in Last Decade","Used in Last Week","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"533",533,"25-34","Male","Masters degree","UK","White",-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,0.52975,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"534",534,"35-44","Female","Masters degree","UK","White",-1.86962,2.32338,-0.45174,1.45039,1.46191,0.19268,-1.18084,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"535",535,"25-34","Female","University degree","USA","White",0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575,"Used in Last Week","Used in Last Month","Never Used","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Month","Used in Last Day","Never Used","Used in Last Decade","Used in Last Year","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
"536",536,"18-24","Female","University degree","UK","White",1.37297,0.80523,-0.97631,0.94156,-0.65253,0.52975,0.07987,"Used in Last Day","Never Used","Used in Last Year","Never Used","Used in Last Week","Used in Last Month","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
"537",537,"45-54","Female","Some college or university, no certificate or degree","UK","Asian",0.73545,-0.30033,-1.27553,0.76096,-0.89891,-1.37983,-1.54858,"Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"538",538,"35-44","Female","University degree","UK","White",1.13281,-0.30033,-0.01928,0.59042,0.58489,0.19268,0.40148,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"539",539,"45-54","Male","Masters degree","UK","White",-1.32828,1.2861,-0.17779,0.59042,1.81175,-2.55524,-1.18084,"Used in Last Day","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"540",540,"45-54","Female","University degree","UK","White",-1.05308,0.32197,-0.17779,-0.91699,0.12331,-1.37983,-1.54858,"Used in Last Week","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used over a Decade Ago","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"541",541,"45-54","Female","University degree","Other","Black",0.22393,0.80523,-0.01928,0.76096,0.41594,0.19268,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"542",542,"35-44","Male","Left school at 17 years","UK","White",0.73545,0.80523,0.88309,-1.21213,-1.0145,0.19268,1.2247,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Month","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used in Last Day","Never Used","Used over a Decade Ago"
"543",543,"25-34","Female","University degree","UK","White",0.82562,0.63779,-0.97631,-0.76096,0.25953,-0.21712,-0.21575,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
"544",544,"18-24","Female","Not Provided","UK","White",1.23461,-0.57545,-0.71727,-0.76096,-1.0145,1.29221,-0.21575,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Month","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used over a Decade Ago"
"545",545,"35-44","Female","Professional certificate/diploma","UK","White",1.60383,0.16767,-0.45174,0.59042,-0.78155,-0.71126,-0.21575,"Used in Last Week","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"546",546,"45-54","Female","Some college or university, no certificate or degree","USA","White",-0.92104,-0.43999,0.88309,3.15735,-0.00665,-1.37983,-1.18084,"Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Used in Last Decade","Never Used","Used in Last Day","Never Used","Never Used"
"547",547,"25-34","Female","Masters degree","UK","White",-1.86962,-0.69509,-0.97631,-0.45321,2.04506,-1.37983,-0.84637,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"548",548,"18-24","Male","University degree","UK","White",1.23461,-0.43999,0.14143,0.13136,-1.78169,0.52975,-1.18084,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"549",549,"25-34","Female","Masters degree","Other","White",-1.1943,1.11406,0.14143,-0.60633,-0.14277,-0.21712,-0.84637,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
"550",550,"18-24","Female","University degree","UK","White",-0.14882,-0.43999,-1.42424,0.76096,1.30612,-1.37983,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"551",551,"35-44","Female","Masters degree","UK","White",-0.79151,1.2861,0.14143,-1.07533,1.13407,-0.21712,1.2247,"Used in Last Month","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Day","Used in Last Month","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used"
"552",552,"18-24","Female","Masters degree","UK","White",1.72012,-1.50796,-0.17779,0.76096,0.25953,-0.21712,-1.18084,"Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"553",553,"25-34","Female","Masters degree","Other","Mixed-White/Black",1.02119,-1.92173,-0.45174,-0.01729,0.41594,-0.71126,-2.07848,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"554",554,"25-34","Female","Doctorate degree","UK","White",0.62967,0.47617,-0.45174,-0.01729,1.30612,0.52975,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"555",555,"45-54","Female","Masters degree","UK","White",0.22393,-0.94779,-1.11902,-0.01729,0.93949,-0.71126,-1.18084,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"556",556,"18-24","Female","University degree","UK","White",-0.14882,-0.30033,0.29338,-0.15487,0.25953,-1.37983,-0.52593,"Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used in Last Decade","Used in Last Month","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Decade","Used in Last Year","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
"557",557,"25-34","Female","University degree","UK","White",-1.69163,0.96248,-0.17779,1.45039,1.30612,-0.71126,-0.21575,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"558",558,"18-24","Female","University degree","UK","White",-0.46725,-0.15487,-0.58331,0.94156,-0.14277,1.29221,1.2247,"Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Day","Used in Last Decade","Used in Last Year","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"559",559,"45-54","Female","University degree","UK","White",-0.79151,0.00332,0.44585,0.28783,1.13407,0.19268,-0.52593,"Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"560",560,"18-24","Female","University degree","UK","White",1.02119,0.16767,-0.71727,0.28783,0.41594,-0.71126,-0.52593,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"561",561,"35-44","Female","University degree","UK","White",0.62967,0.63779,0.44585,-1.07533,0.7583,-0.21712,-0.21575,"Used in Last Week","Used over a Decade Ago","Never Used","Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
